id,name,type,founded,city,lat,lon,website,licenses,masters,doctorates
univ-alger-1,University of Algiers 1 (Benyoucef Benkhedda),University,1879,Algiers,36.7676,3.0536,https://www.univ-alger.dz/,Computer Science; Medicine; Pharmacy; Law; Economics,Bioinformatics; Public Health; International Law; Business Administration,Computer Science; Medicine; Law; Economics
univ-alger-2,University of Algiers 2 (Abou El Kacem Saâdallah),University,1971,Algiers,36.7167,3.1472,https://www.univ-alger2.dz/,Literature; Linguistics; Psychology; Sociology; History,Applied Linguistics; Educational Sciences; Social Research; Translation Studies,Human Sciences; Linguistics; Social Sciences
univ-alger-3,University of Algiers 3 (Ibrahim Sultan Cheibout),University,2009,Algiers,36.7514,3.1696,https://www.univ-alger3.dz/,Management; Accounting; Economics; Political Science,Finance; Marketing; Public Administration; International Relations,Economics; Management Sciences; Political Science
usthb,USTHB - University of Science and Technology Houari Boumediene,University,1974,Algiers,36.711,3.1804,https://www.usthb.dz/,Computer Science; Mathematics; Physics; Electronics; Biology,Artificial Intelligence; Applied Physics; Telecommunications; Biotechnology,Computer Science; Physics; Materials Science; Biology
enp-alger,École Nationale Polytechnique d'Alger,Superior School,1925,Algiers,36.7312,3.1035,https://www.enp.edu.dz/,Preparatory Engineering Cycle; Industrial Engineering Basics,Mechanical Engineering; Electrical Engineering; Civil Engineering; Process Engineering,Engineering Sciences; Energy Systems
esi-alger,École Nationale Supérieure d'Informatique (ESI),Superior School,1969,Algiers,36.7057,3.1708,https://www.esi.dz/,Computer Science; Information Systems,Software Engineering; Data Science; Cybersecurity,Computer Science; Information Systems
univ-constantine-1,University of Constantine 1 (Mentouri Brothers),University,1969,Constantine,36.365,6.614,https://www.umc.edu.dz/,Computer Science; Medicine; Architecture; Chemistry,Biomedical Sciences; Urban Planning; Analytical Chemistry,Medicine; Architecture; Computer Science
univ-oran-1,University of Oran 1 Ahmed Ben Bella,University,1965,Oran,35.697,-0.627,https://www.univ-oran1.dz/,Computer Science; Marine Biology; Chemistry; Mathematics,Software Engineering; Oceanography; Applied Chemistry,Computer Science; Marine Sciences; Chemistry
univ-tlemcen,University of Tlemcen (Abou Bekr Belkaïd),University,1974,Tlemcen,34.878,-1.316,http://www.univ-tlemcen.dz/,Computer Science; Law; Economics; Electrical Engineering,Renewable Energy; Business Law; Networks and Systems,Engineering Sciences; Law; Economics
univ-bejaia,University of Bejaia (Abderrahmane Mira),University,1983,Bejaia,36.753,5.084,https://www.univ-bejaia.dz/,Computer Science; Geology; Biology; Economics,Data Engineering; Environmental Sciences; Entrepreneurship,Computer Science; Earth Sciences; Biology
esst-alger,École Supérieure des Sciences et Technologies d'Alger (ESST),Private Superior School,2006,Algiers,36.7447,3.0422,https://esst.dz/,Computer Science; Information Systems; Business Management,Software Engineering; Data Analytics; Digital Marketing,
esaa-alger,École Supérieure Algérienne des Affaires (ESAA),Private Superior School,2004,Algiers,36.7552,3.0339,https://www.esaa.dz/,Business Administration; Finance; Marketing,MBA; International Management; Financial Management,
univ-setif-1,University of Setif 1 Ferhat Abbas,University,1978,Setif,36.1904,5.4136,https://www.univ-setif.dz/,Medicine; Computer Science; Biology; Civil Engineering,Biomedical Engineering; Software Systems; Renewable Energy,Medicine; Engineering Sciences; Computer Science
univ-blida-1,University Blida 1 (Saad Dahlab),University,1981,Blida,36.4706,2.8306,https://www.univ-blida.dz/,Aerospace Engineering; Computer Science; Agronomy; Chemistry,Aerospace Systems; Artificial Intelligence; Food Technology,Engineering Sciences; Agronomy; Computer Science
ummto,Mouloud Mammeri University of Tizi Ouzou,University,1977,Tizi Ouzou,36.7112,4.0507,https://www.ummto.dz/,Electrical Engineering; Computer Science; Law; Languages,Embedded Systems; Software Engineering; Public Law,Engineering Sciences; Computer Science; Law
ensia-alger,École Nationale Supérieure d'Intelligence Artificielle (ENSIA),Superior School,2021,Algiers,36.7321,2.9924,https://ensia.edu.dz/,Artificial Intelligence; Data Science; Computer Engineering,Machine Learning; Natural Language Processing; Computer Vision,Artificial Intelligence; Data Science
ensta-alger,École Nationale Supérieure en Technologies Avancées (ENSTA),Superior School,2011,Algiers,36.7369,2.9966,https://www.ensta.edu.dz/,Embedded Systems; Industrial Computing; Electronics,Robotics; Cyber-Physical Systems; Smart Manufacturing,Automation; Embedded Technologies
esst-el-achour,Ecole supérieure de science et technologie el achour,Private Superior School,2018,Algiers,36.7286,2.9794,https://www.esst-sup.com/,Computer Science; Information Systems; Industrial Engineering Basics,Software Engineering; Data Analytics; Network and Cloud Systems,
